SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Arw.11	Rhizosphere	Mudplantain	WWE1	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	ZB3	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Alphaproteobacteria	26471	2320	0.08767754608643094
Arw.11	Rhizosphere	Mudplantain	Betaproteobacteria	26471	6308	0.23832728921124208
Arw.11	Rhizosphere	Mudplantain	Deltaproteobacteria	26471	2049	0.07744031429434875
Arw.11	Rhizosphere	Mudplantain	Epsilonproteobacteria	26471	92	0.003513145965548504
Arw.11	Rhizosphere	Mudplantain	Gammaproteobacteria	26471	1264	0.04778634028407374
Arw.11	Rhizosphere	Mudplantain	TA18	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Zetaproteobacteria	26471	1	7.555152614082804e-5
Arw.12	Rhizosphere	Mudplantain	[Parvarchaeota]	25175	1	7.944073721004132e-5
Arw.12	Rhizosphere	Mudplantain	[Thermi]	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	AC1	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Acidobacteria	25175	4933	0.1959802986971719
Arw.12	Rhizosphere	Mudplantain	Actinobacteria	25175	689	0.02740705433746425
Arw.12	Rhizosphere	Mudplantain	AD3	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Armatimonadetes	25175	461	0.01835081029551954
Arw.12	Rhizosphere	Mudplantain	Bacteroidetes	25175	2125	0.08444550365427392
Arw.12	Rhizosphere	Mudplantain	BHI80-139	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	BRC1	25175	30	0.0012313314267556404
Arw.12	Rhizosphere	Mudplantain	Caldiserica	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Chlamydiae	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Chlorobi	25175	177	0.007070225611693677
Arw.12	Rhizosphere	Mudplantain	Chloroflexi	25175	885	0.0351922465840483
Arw.12	Rhizosphere	Mudplantain	Crenarchaeota	25175	33	0.0013504925325707022
Arw.12	Rhizosphere	Mudplantain	Cyanobacteria	25175	86	0.003455672068636797
Arw.12	Rhizosphere	Mudplantain	Elusimicrobia	25175	47	0.0019065776930409914
Arw.12	Rhizosphere	Mudplantain	Euryarchaeota	25175	59	0.0023832221163012394
Arw.12	Rhizosphere	Mudplantain	FBP	25175	3	1.5888147442008263e-4
Arw.12	Rhizosphere	Mudplantain	FCPU426	25175	4	1.9860184302510328e-4
Arw.12	Rhizosphere	Mudplantain	Fibrobacteres	25175	104	0.004170638703527169
Arw.12	Rhizosphere	Mudplantain	Firmicutes	25175	101	0.004051477597712107
Arw.12	Rhizosphere	Mudplantain	Fusobacteria	25175	1	7.944073721004132e-5
Arw.12	Rhizosphere	Mudplantain	GAL15	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Gemmatimonadetes	25175	1066	0.04238163330155704
Arw.12	Rhizosphere	Mudplantain	GN02	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	GN04	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	GOUTA4	25175	3	1.5888147442008263e-4
Arw.12	Rhizosphere	Mudplantain	Kazan-3B-28	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	KSB3	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	Lentisphaerae	25175	1	7.944073721004132e-5
Arw.12	Rhizosphere	Mudplantain	MVS-104	25175	0	3.972036860502066e-5
Arw.12	Rhizosphere	Mudplantain	NC10	25175	7	3.1776294884016526e-4
Arw.12	Rhizosphere	Mudplantain	Nitrospirae	25175	56	0.0022640610104861774
Arw.12	Rhizosphere	Mudplantain	NKB19	25175	19	7.944073721004131e-4
Arw.12	Rhizosphere	Mudplantain	OC31	25175	0	3.972036860502066e-5
